Año,MUNICIPIO,ESTABLECIMIENTO EDUCATIVO,SEDE EDUCATIVA,CODIGO DANE IE,ZONA,MATRICULA CORTE SIMAT 24 DE SEPTIEMBRE 2019,COMPLEMENTO ALIM. AM Y PM,COMPLEMENTO TIPO ALMUERZO,TOTAL DE CUPOS ASIGNADOS POR SEDE
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,INTITUCIÓN ETNOEDUCATIVA BARI LA MOTILONA - SEDE PRINCIPAL,254810000653,RURAL,203,0,203,203
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE ARACTOBARI,254245800012,RURAL,20,0,20,20
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE AXDOSARIDA,254245800004,RURAL,10,0,10,10
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE BEBOQUIRA,254810001382,RURAL,10,0,10,10
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE BRYDICAYRA,254206000912,RURAL,13,0,13,13
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE CAXBARINOYAIRA,254810000866,RURAL,10,0,10,10
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE ICHIRRINDACAYRA,254245800021,RURAL,23,0,23,23
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE INDIGENA BRUBUCARINA,254810001030,RURAL,24,0,24,24
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE INDIGENA OCBABUDA,254800001350,RURAL,14,0,14,14
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE INDIGENA SHUCBACBARINA,254800002323,RURAL,16,0,16,16
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE INDIGENA YERA,254800002355,RURAL,32,0,32,32
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE IQUIACARORA,254245001560,RURAL,65,0,65,65
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE KORRONKAIRA,254245001535,RURAL,14,0,14,14
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE PATHUINA,254245001462,RURAL,12,0,12,12
2019,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE SAPHADANA,254810001102,RURAL,21,0,21,21
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA) - SEDE PRINCIPAL,254820001607,RURAL,93,0,93,93
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE ANTETA,254174000702,RURAL,41,0,41,41
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE BAKO KUIRA,254174000648,RURAL,17,0,17,17
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE BURARA,254820001739,RURAL,15,0,15,15
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE ETNOEDUCATIVA KUITUA,254820001721,RURAL,8,0,8,8
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE ETNOEDUCATIVA SHEJKARA,254820001593,RURAL,9,0,9,9
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE IHURIMA,254820001747,RURAL,20,0,20,20
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE KANORIWA,254820001585,RURAL,24,0,24,24
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE ONKASA,254820001755,RURAL,23,0,23,23
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE RURITOA,254820001763,RURAL,13,0,13,13
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE SIRIO-KUSA,254174000681,RURAL,13,0,13,13
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE SISIERA,254820001687,RURAL,28,0,28,28
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE SORKOTA,254174000711,RURAL,44,0,44,44
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE TABUT AK LIA,254174000362,RURAL,22,0,22,22
2019,TOLEDO,I.E. INSTITUCIÓN ETNOEDUCATIVA U WA IZQUETA (SEGOVIA),SEDE TEGURA,254174000192,RURAL,12,0,12,12
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,INTITUCIÓN ETNOEDUCATIVA BARI LA MOTILONA - SEDE PRINCIPAL,254810000653,RURAL,194,194,0,194
2020,TIBÚ,INTITUCIÓN ETNOEDUCATIVA BARI,SEDE ARACTOBARI,254245800012,RURAL,22,22,0,22
